=== Sheet: Live Sheet for Business Activit ===
Reference Number | Activity ID | Segment | Activity Master: Activity Master Name | Segment (Arabic) | Type | External Approval Required? | Approving Authority | Type of Approval | Description | Description (Arabic) | Status
1.8.18 |  5223.96 | Transportation | Aviation Services Coordination |  النقل | General | False |  |  |  Includes firms specialized in coordinating between their clients and services providers as related to fuel services, airport ground operation, flight permission and passenger facilitation. | يشمل ذلك الشركات المتخصصة في التنسيق بين عملائها ومقدمي الخدمات المتعلقة بخدمات الوقود، عمليات الأرض في المطارات، تصاريح الطيران وتسهيلات الركاب. | Active
1.8.17 | 5229.08 | Transportation | Aviation Business Brokerage | النقل | General | False |  |  | Includes firms engaged in variety of brokerage services regarding aviation business such as brokering flights on behalf of individuals and companies’ market for both passenger and cargo transportation, the sale and acquisition of aircrafts. Etc | يشمل ذلك الشركات التي تعمل في مجموعة متنوعة من خدمات الوساطة في قطاع الطيران، مثل الوساطة في حجوزات الرحلات نيابة عن الأفراد والشركات في سوق النقل الجوي للركاب والشحن، بالإضافة إلى بيع وشراء الطائرات وغيرها من الخدمات ذات الصلة. | Active
5.1.130 | 8010001 | Service Provider | Public security guarding services | مزود الخدمات | General | True | Abu Dhabi Police General Headquarters (In case of Mainland Operations) | Pre | Includes security services for residential and commercial buildings, through appointing guards for limited periods. This includes the use of automated guard systems; such as connecting these buildings with an electronic emergency, security and safety syst | يشمل خدمات الحراسات للأبنية السكنية والتجارية وذلك عن طريق تعيين حراس (نواطير) لمدد محدودة، كما يشمل ذلك استخدام الأنظمة الآلية في الحراسة مثل ربط هذه الأبنية بنظام الكتروني للطوارئ والأمن والسلامة للتحذير المكبر من تعرض تلك الأبنية للسطو والاقتحا | Active
5.1.131 | 7820002 | Service Provider | Mediation and temporary employment services for domestic workers | مزود الخدمات | General | True | MoHRE (In case of Mainland Operations) | Pre | Includes firms engaged in supplying domestic workers to households, and assuming necessary procedures for bringing them, also, supplying workers to take care of or serving the guests in the personal and corporate events such as weddings, birthdays, mourni | يشمل المنشآت المتخصصة في جلب الأيدي العاملة من الخارج للأفراد، والقيام بكافة الإجراءات الضرورية لإستقدامهم، كما يشمل توفير الأشخاص الذين يقومون بترتيبات الضيافة المختلفة مثل تقديم المأكولات والمشروبات في المناسبات الشخصية والرسمية مثل حفلات الزواج، أعياد  | Active
5.1.132 | 7820001 | Service Provider | Upon Request Employees Provision Services | مزود الخدمات | General | True | MoHRE (In case of Mainland Operations) | Pre | The offices that specialize in directly contracting with workers of various specialties to work for these offices. These offices undertake their specialized work at the premises of another employer. (The employment relationship remains directly between th | تشمل المكاتب التي يقتصر نشاطها علي أن تتعاقد مباشرة مع عمالة من مختلف التخصصات للعمل لدي هذه المكاتب كما تقوم تلك المكاتب لاداء عملهم المتخصصين فيه عند صاحب عمل اخر ( كما تظل علاقة العمل مباشرة بين مكب التوظيف والعامل الذي يتقاضي أجره مباشرة من مكتب التوظ | Active
5.1.133 | 7810003 | Service Provider | Human Service Delivery of Medical Cadres | مزود الخدمات | General | True | MoHRE/DoH (In case of Mainland Operations) | Pre | It includes specialized recruitment offices for bringing in medical human resources for public and private healthcare facilities, whereby these establishments sponsor the individuals they recruit. Obtaining approval from the Ministry of Labor is required  | يشمل مكاتب الإستخدام المتخصصة في إستقدام الموارد البشرية الطبية للمرافق الطبية الحكومية والخاصة بحيث تقوم هذه المنشآت بكفالة الأشخاص الذين تقوم بإستقدامهم, يشترط الحصول علي موافقة وزارة العمل للممارسة هذا النشاط وكذلك تخضع تلك الكوادر لاختبارات الجهات الم | Active
13.30 | 4540105 | Trading | Motor Carriages Spare Parts And Outfit Trading | الشركة التجارية | General | False |  |  | Includes all commercial enterprises or agencies to the sale of spare parts for vehicles and firearms (vehicles with three or four wheeled car fuel which is used for entertainment) as well as the sale of its components and accessories. | يشمل  جميع المنشآت التجارية أو الوكالات  التى تقوم بإعادة بيع قطع   غيارالعربات النارية ( وهى العربات ذات الثلاث أو الأربع عجلات والتى تسير بوقود السيارات  وتستخدم للترفيه ) وكذلك بيع مكوناتها ولوازمها . | Active
13.31 | 4669109 | Trading | Trading of Airplane Scrap And Used Spare Parts | الشركة التجارية | General | False |  |  | It includes commercial facilities that trade in waste and spare parts for used aircraft that obtained from dismantling old aircraft and converting them into scrap. | يشمل المنشات التجا رية التى تتاجر فى المخلفات وقطع الغيار للطائرات المستعملة التي يتم الحصول عليها من تفكيك الطائرات القديمة وتحويلها إلى خردة | Active
13.32 | 4773708 | Trading | Retail Sale of Airplanes Spare Parts and Its Components | الشركة التجارية | General | False |  |  | Include the resale specialized shops retail aircraft spares and other components and supplies used in aircraft repair, maintenance or renewal or raise operational efficiency or provide them with security and safety devices or other components and supplies | هي إعادة البيع في المتاجر المتخصصة بالتجزئة  لقطع غيار الطائرات وغيرها من المكونات   واللوازم المستخدمة في إصلاح الطائرات أو صيانتها أو  تجديدها أو رفع كفاءتها التشغيلية أو تزويدها بأجهزة الأمن والسلامة أو غير ذلك من المكونات واللوازم. | Active
13.23 | 4530.00 | Trading Company | Sale Of Motor Vehicle Parts And Accessories | الشركة التجارية | General | False |  |  | The sale of motor vehicle parts and accessories involves the retail, wholesale, or distribution of components and products used for the repair, maintenance, and enhancement of motor vehicles. This business activity encompasses a wide variety of parts, ran | بيع قطع غيار السيارات والإكسسوارات ينطوي على التجزئة، الجملة، أو توزيع المكونات والمنتجات المستخدمة في إصلاح وصيانة وتحسين المركبات. تشمل هذه الأنشطة التجارية مجموعة واسعة من الأجزاء، بدءًا من المكونات الميكانيكية الأساسية وصولاً إلى الإكسسوارات الجمالية  | Active
33.13 | 8540.00 | Educational Services | Other Education | خدمات تعليمية | General | False |  |  | This group includes education activities that are not categorized under primary, secondary, or higher education. It covers a wide range of specialized and non-formal educational services, including:
Specialized training and education: Training in specific | رمز ISIC 854 - التعليم الآخر:
تتضمن هذه الفئة الأنشطة التعليمية التي لا تُصنف تحت التعليم الابتدائي أو الثانوي أو التعليم العالي. وتشمل مجموعة واسعة من الخدمات التعليمية المتخصصة وغير الرسمية، بما في ذلك:
التدريب والتعليم المتخصص: التدريب في مجالات أو مهن | Active
13.26 | 4651.56 | Trading Company | Wholesale of Furniture, Household Goods, and Lighting Equipment | الشركة التجارية | General | False |  |  | 1. Activity Description:
Wholesale of Furniture: This includes the wholesale trade of furniture used for homes, offices, and other establishments. It involves various types of furniture such as wooden, metal, upholstered, and plastic products, among other | الأنشطة التجارية للجملة للأثاث:
1. وصف الأنشطة:
الجملة للأثاث: يشمل هذا التجارة بالجملة للأثاث المستخدم في المنازل والمكاتب والمؤسسات الأخرى. تتضمن التجارة أنواعًا مختلفة من الأثاث مثل الأثاث الخشبي والمعدني والمفروشات القماشية والبلاستيكية وغيرها.
الأثاث | Active
5.1.125 | 8299004 | Service Provider | Administrative Services For Businessmen |  | Special | False |  |  | Includes business facilities which provide the necessary SECRETARIAL SHORTHAND liberalization of the records of the meetings of their meetings, as well as the management of some of their own affairs, such as the organization of the manifestoes and recepti | يشمل المنشآت التي توفر لرجال الأعمال   خدمات السكرتارية والاختزال الضرورية   وتحرير محاضر الجلسات لأعمالهم وإجتماعاتهم, وكذلك إدارة بعض شؤونهم مثل تنظيم مواعيدهم   واستقبالهم وترتيب اجتماعاتهم مع الأطراف   الأخرى بالإضافة إلى ترتيب حجوزات السفر   والإنتقا | Active
13.24 | 4630.00 | Trading Company | Wholesale Of Food And Beverages | الشركة التجارية | General | False |  |  | The wholesale of food and beverages involves the distribution of food products and drinks in bulk to retailers, foodservice businesses, and other entities that then sell or serve these products to end consumers. Wholesale distributors act as intermediarie | يتمثل نشاط جملة المواد الغذائية والمشروبات في توزيع المنتجات الغذائية والمشروبات بكميات كبيرة على تجار التجزئة، وأعمال خدمات الطعام، والكيانات الأخرى التي تقوم ببيع أو تقديم هذه المنتجات للمستهلكين النهائيين. يعمل الموزعون بالجملة كوسطاء بين الشركات المصن | Active
13.25 | 4610.11 | Trading Company | Commercial Brokerage Services | الشركة التجارية | General | False |  |  | Commercial brokerage services involve acting as an intermediary between buyers and sellers in various commercial transactions, such as real estate, business sales, or investment deals. A commercial broker facilitates the process of buying, selling, or lea | تتضمن خدمات الوساطة التجارية العمل كوسيط بين المشترين والبائعين في مختلف المعاملات التجارية، مثل العقارات التجارية، مبيعات الأعمال، أو صفقات الاستثمار. يسهل الوسيط التجاري عملية شراء أو بيع أو تأجير العقارات التجارية، والأعمال التجارية، وفرص الاستثمار الأ | Active
2.3.21 | 6311.06 | IT Services | Web Hosting | خدمات الحاسوب | General | False |  |  | Web hosting refers to the service of providing storage space and access to websites on the internet. Web hosting companies allow individuals, businesses, and organizations to make their websites accessible online by storing the necessary files (such as HT | استضافة المواقع تشير إلى الخدمة التي توفر مساحة تخزين والوصول إلى المواقع الإلكترونية عبر الإنترنت. تتيح شركات استضافة المواقع للأفراد والشركات والمنظمات جعل مواقعهم الإلكترونية متاحة عبر الإنترنت عن طريق تخزين الملفات اللازمة (مثل HTML وCSS والصور وقواعد | Active
2.7.10 | 4321009 | Security and Surveillance | Security & Surveillance Systems Installation & Maintenance | الامن والمراقبة | General | False |  |  | Includes facilities that install and maintain the equipment in the facilities and public buildings used for purposes of security and protection from burglary or vandalism, or exposure to various risks, such as surveillance cameras, and other visual and ot | يشمل المنشآت التي تقوم بتركيب وصيانة المعدات والأجهزة في المنشآت والأبنية العامة والمستخدمة في أغراض الأمن والحماية من السطو أو التخريب أو التعرض للأخطار المختلفة كمعدات المراقبة من كاميرات وأجهزة مرئية أخري  وغيرها من معدات الأمن | Active
5.1.123 | 4922008 | Service Provider | School Buses Transportation | مزود الخدمات | Special | False |  |  | Activity includes specialized establishments, which owns a fleet of buses used in the field of education through the transfer of students from all grade levels. | يشمل المنشآت المتخصصة والتى تمتلك اسطول من الحافلات يت ماستخدامه فى مجال التعليم من خلال نقل الطلاب من جميع المراحل الدراسية | Active
32.16 | 7210127 | Smart Autonomous Vehicle Industries | Development and innovation in UAVs | صناعات السيارات الذكية والمستقلة | General | False |  |  | Includes all innovations in unmanned aircraft and has an impact on improving and developing the effectiveness of the processes, services and products in which they are used | تشمل جميع الابتكارات في   الطائرات بدون طيار  ولها تأثير على تحسين وتطوير فعالية العمليات والخدمات والمنتجات التي تستخدم فيها | Active
13.10 | 4773613 | Trading | Trade of Printing Equipment and Supplies | الشركة التجارية | General | False |  |  | Include the resale shops and all types of retail specialized machinery and equipment that are used for different printing methods and techniques including optical offset, drilling, drilling and engraving, printing fabrics, recessed printer handicrafts, bi | يشمل إعادة البيع فى المحلات والمتاجر المتخصصة بالتجزئة لحميع انواع المكائن والمعدات التي تستخدم لمختلف الأساليب والتقنيات الطباعية بما في ذلك الحفر الضوئي، الأوفسيت، الحفر والنقش الغائر، طباعة الأقمشة، الطباعة اليدوية، التجليد ومنسقات الحروف | Active
